ranking,nodo,campus,capa,funcion_jerarquia,betweenness,B_norm,punto_articulacion,mincut_score_raw,M_norm,n_cortes_campus,campus_cortes,aristas_corte_incidentes,nodos_fuera_GCC_si_falla,percolation_damage,P_norm,tau_cascada_referencia,fallos_totales_cascada,fallos_secundarios_cascada,cascade_secondary_fraction,C_norm,aporte_betweenness,aporte_articulacion,aporte_mincut,aporte_percolacion,aporte_cascada,indice_criticidad
75,AUL2-0A-A119,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
76,AUL2-0A-A120,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
77,AUL2-0A-A121,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
78,AUL2-0A-A122,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
79,AUL2-0A-A123,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
80,CEA-0A-A108,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
81,CTBLOQ1-0A-A101,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
82,CTBLOQ2-0A-A102,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
83,CTBLOQ3-0A-A103,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
84,EA-0A-A114,Campus Balzay,acceso,Acceso,0.0,0.0,False,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,0,0.0,0.0,0.035,1,0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044
