source,target,campus_u,campus_v,capa_u,capa_v,rol,label,capacidad_original_mbps,capacidad_modelo_mbps,fuente_capacidad,es_puente_P1
CC-JURISPRUDENCIA-D110,JUR-1A-A61,Campus Central,Campus Central,agregacion,acceso,principal,D110: lag42 60.21 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-JURISPRUDENCIA-D110,JUR-1A-A62,Campus Central,Campus Central,agregacion,acceso,principal,D110: lag43 55.03 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-PSICOLOGIA-D125,PSIC-1A-A53,Campus Central,Campus Central,agregacion,acceso,principal,D125: lag21 126.27 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-PSICOLOGIA-D125,PSIC-2B-A54,Campus Central,Campus Central,agregacion,acceso,principal,D50: lag22 71.19 Mbps,,1000,estimada_1G_acceso_agregacion,True
POST-1A-A64,POST-1A-A65,Campus Central,Campus Central,acceso,acceso,principal,A64: 1/1/50 34.23 Mbps,,1000,estimada_1G_acceso,True
POST-1A-A65,POST-2A-A66,Campus Central,Campus Central,acceso,acceso,principal,A65: 1/1/48 2.67 Mbps,,1000,estimada_1G_acceso,True
CC-ARQUITECTURA-D107,ARQ-0A-A85,Campus Central,Campus Central,agregacion,acceso,principal,D107: lag11 80.54 Mbps,,1000,estimada_1G_acceso_agregacion,True
ARQ-0A-A85,ARQ-0A-A84,Campus Central,Campus Central,acceso,acceso,principal,A85: 1/1/51 2.94 Mbps,,1000,estimada_1G_acceso,True
CC-ARQUITECTURA-D107,ARQ-0B-A87,Campus Central,Campus Central,agregacion,acceso,principal,D107: lag12 9.87 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ARQUITECTURA-D107,ARQ-1C-A86,Campus Central,Campus Central,agregacion,acceso,principal,D107: 1/1/3 9.98 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ARQUITECTURA-D107,ARQ-1C-A96,Campus Central,Campus Central,agregacion,acceso,principal,D107: lag13 51.55 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ARQUITECTURA-D107,ARQ-0D-A88,Campus Central,Campus Central,agregacion,acceso,principal,D107: lag14 47.14 Mbps,,1000,estimada_1G_acceso_agregacion,True
ARQ-0D-A88,ARQ-0D-A89,Campus Central,Campus Central,acceso,acceso,principal,A88: 1/1/52 45.32 Mbps,,1000,estimada_1G_acceso,True
CC-ARQUITECTURA-D107,ARQ-0D-A90,Campus Central,Campus Central,agregacion,acceso,principal,D107: lag15 2.96 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ARQUITECTURA-D107,ARQ-1E-A91,Campus Central,Campus Central,agregacion,acceso,principal,D107: lag16 96.32 Mbps,,1000,estimada_1G_acceso_agregacion,True
ARQ-1E-A91,ARQ-1E-A92,Campus Central,Campus Central,acceso,acceso,principal,A91: 4/1/49 96.64 Mbps,,1000,estimada_1G_acceso,True
CC-ARQUITECTURA-D107,ARQ-0G-A93-CEPAUC,Campus Central,Campus Central,agregacion,acceso,principal,D107: 1/1/13 3.53 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-QUIMICA-D109,QUI-1A-A83,Campus Central,Campus Central,agregacion,acceso,principal,D109: lag11 55.56 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-QUIMICA-D109,QUI-0A-A78,Campus Central,Campus Central,agregacion,acceso,respaldo,D109: lag12 0 bps,,1000,estimada_1G_acceso_agregacion,True
CC-QUIMICA-D109,QUI-2A-A82,Campus Central,Campus Central,agregacion,acceso,principal,D109: lag13 2.67 Mbps,,1000,estimada_1G_acceso_agregacion,True
QUI-2A-A82,QUI-2A-A81,Campus Central,Campus Central,acceso,acceso,principal,A81: 1/1/48 5.93 Kbps,,1000,estimada_1G_acceso,True
CC-PROMAS-D31,PRO-1A-A73,Campus Central,Campus Central,agregacion,acceso,principal,D31: lag41 68.74 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-PROMAS-D31,CREDU-0B-A94,Campus Central,Campus Central,agregacion,acceso,principal,D31: 1/1/3 17.32 Mbps,,1000,estimada_1G_acceso_agregacion,True
PRO-1A-A73,PRO-3A-A74,Campus Central,Campus Central,acceso,acceso,principal,,,1000,estimada_1G_acceso,True
CC-BIBLIOTECA-D112,CCBIB-1A-A71,Campus Central,Campus Central,agregacion,acceso,principal,D112: lag11 189.65 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-BIBLIOTECA-D112,VIN-0A-A72,Campus Central,Campus Central,agregacion,acceso,principal,D112: 1/1/3 36.32 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-MONJAS-D126,MON-0A-A103,Campus Central,Campus Central,agregacion,acceso,principal,D126: lag63 3.82 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-MONJAS-D126,MON-0A-A104,Campus Central,Campus Central,agregacion,acceso,principal,D126: lag64 39.99 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-MONJAS-D126,MON-1C-A105,Campus Central,Campus Central,agregacion,acceso,principal,D126: lag67 2.76 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-MONJAS-D126,MON-1C-A106,Campus Central,Campus Central,agregacion,acceso,principal,D126: lag66 16.36 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-MONJAS-D126,MON-1B-A67,Campus Central,Campus Central,agregacion,acceso,principal,D126: lag62 36.31 Mbps,,1000,estimada_1G_acceso_agregacion,True
MON-1B-A67,MON-1B-A68,Campus Central,Campus Central,acceso,acceso,principal,A67: 2/1/52 37.86 Mbps,,1000,estimada_1G_acceso,True
CC-MONJAS-D126,ECOK3-0A-A63,Campus Central,Campus Central,agregacion,acceso,principal,D126: 1/1/9 32.03 Mbps,,1000,estimada_1G_acceso_agregacion,True
CC-ECONOMIA-D51,TECQUI-0A-A10,Campus Central,Campus Central,agregacion,acceso,principal,,,1000,estimada_1G_acceso_agregacion,True
