nodo,campus,capa,grado_absoluto,centralidad_grado,intermediacion,cercania,vector_propio
SW-ARUBA-MUSEO,Sede Museo,acceso,2,0.011363636363636364,0.00722943722943723,0.20705882352941177,0.07919627507934711
TALL-0A-A12,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
TEAT-0A-A75,Campus Central,acceso,1,0.005681818181818182,0.0,0.1772406847935549,0.028705645697601985
TECMED-0B-A42,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15172413793103448,7.524563805974248e-05
TECMED-1A-A141,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.13203300825206302,1.231998977870236e-05
TECMED-1A-A41,Campus Paraiso,acceso,2,0.011363636363636364,0.011363636363636364,0.15198618307426598,7.721143686360001e-05
TECMED-2C-A43,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15172413793103448,7.524563805974248e-05
TECMED-3D-A44,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15172413793103448,7.524563805974248e-05
TECQUI-0A-A10,Campus Central,acceso,3,0.017045454545454544,0.02266233766233766,0.17831813576494426,0.0294331501286611
TECQUI-0A-A11,Campus Central,acceso,1,0.005681818181818182,0.0,0.1514629948364888,0.004696403889531599
TECQUI-0A-A12,Campus Central,acceso,1,0.005681818181818182,0.0,0.1514629948364888,0.004696403889531599
VIN-0A-A72,Campus Central,acceso,1,0.005681818181818182,0.0,0.17617617617617617,0.0263954802404665
VLIR-0A-A107,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15841584158415842,0.0013374298241022892
